course_id,title,category,level,description
C015,React 상태관리와 훅 심화,프론트엔드,중급,useEffect 커스텀 훅 Context API와 상태관리 라이브러리를 활용한 규모 있는 React 앱 설계를 학습합니다.
C016,TypeScript로 안전한 코드 작성,프론트엔드,중급,타입 시스템과 제네릭 유틸리티 타입을 익혀 런타임 오류를 줄이는 타입스크립트 개발 방법을 배웁니다.
C017,Vue.js 실전 프로젝트,프론트엔드,중급,Vue 3 컴포지션 API와 라우터 상태관리를 사용해 실전 웹 애플리케이션을 처음부터 끝까지 만들어 봅니다.
C018,웹 성능 최적화,프론트엔드,고급,렌더링 원리와 번들 최적화 이미지 지연 로딩 등 사용자 체감 속도를 높이는 프론트엔드 성능 개선 기법을 다룹니다.
C019,Python 프로그래밍 기초,데이터·AI,입문,파이썬 설치부터 자료형 제어문 함수까지 프로그래밍이 처음인 사람을 위한 파이썬 입문 과정입니다.
C020,Pandas 데이터 분석 입문,데이터·AI,입문,Pandas로 데이터를 불러오고 정제 집계 시각화하는 데이터 분석의 기본 흐름을 실습합니다.
C021,SQL로 하는 데이터 분석,데이터·AI,중급,윈도우 함수와 서브쿼리를 활용해 비즈니스 지표를 추출하는 분석용 SQL 작성법을 배웁니다.
C022,머신러닝 기초,데이터·AI,중급,지도학습과 비지도학습 개념 회귀 분류 모델을 scikit-learn으로 직접 만들며 머신러닝의 기본기를 다집니다.
C023,딥러닝 입문 with PyTorch,데이터·AI,중급,신경망의 구조와 학습 원리를 이해하고 PyTorch로 이미지 분류 모델을 직접 구현해 봅니다.
C024,자연어 처리와 HuggingFace,데이터·AI,고급,토크나이저와 트랜스포머 모델 구조를 이해하고 HuggingFace로 텍스트 분류와 감성 분석을 실습합니다.
C025,LLM 애플리케이션 개발 입문,데이터·AI,중급,대규모 언어모델 API를 활용해 챗봇과 요약 서비스를 만들며 프롬프트 엔지니어링 기초를 배웁니다.
C026,RAG 시스템 구축 실전,데이터·AI,고급,임베딩과 벡터 데이터베이스 검색 증강 생성 파이프라인을 구축해 문서 기반 질의응답 시스템을 완성합니다.
C027,FastAPI로 만드는 AI 서버,데이터·AI,중급,FastAPI로 머신러닝 모델을 서빙하는 API 서버를 구축하고 비동기 처리와 배포까지 다룹니다.
C028,데이터 시각화와 대시보드,데이터·AI,입문,Matplotlib과 Plotly로 차트를 그리고 Streamlit으로 인터랙티브 대시보드를 만드는 방법을 배웁니다.
C029,통계학 기초 for 데이터 분석,데이터·AI,입문,기술통계와 확률분포 가설검정 등 데이터 분석에 꼭 필요한 통계 개념을 파이썬 실습과 함께 배웁니다.
C030,추천 시스템의 이해,데이터·AI,고급,협업 필터링과 콘텐츠 기반 추천 임베딩 유사도 기반 추천까지 추천 알고리즘의 원리와 구현을 다룹니다.
C031,Kotlin과 Android 앱 개발 입문,모바일,입문,Kotlin 문법과 안드로이드 스튜디오 사용법을 익히고 첫 안드로이드 앱을 만들어 봅니다.
C032,Android Jetpack Compose 실전,모바일,중급,선언형 UI 프레임워크 Jetpack Compose로 모던 안드로이드 앱 화면을 구성하고 상태를 관리합니다.
C033,Swift와 iOS 앱 개발 입문,모바일,입문,Swift 기본 문법과 Xcode 사용법을 배우고 SwiftUI로 간단한 iOS 앱을 완성합니다.
C034,Flutter 크로스플랫폼 앱 개발,모바일,중급,Flutter와 Dart로 iOS와 Android에서 동시에 동작하는 앱을 개발하는 방법을 학습합니다.
C035,모바일 앱 UI UX 디자인,모바일,입문,모바일 환경의 사용자 경험 원칙과 화면 설계 프로토타이핑 도구 활용법을 배웁니다.
C036,Git과 GitHub 협업 완전정복,개발일반,입문,버전 관리 개념부터 브랜치 전략 풀리퀘스트 코드리뷰까지 팀 협업에 필요한 Git 사용법을 익힙니다.
C037,Docker 컨테이너 입문,개발일반,중급,컨테이너 개념과 Dockerfile 작성 이미지 빌드 docker-compose로 개발 환경을 구성하는 방법을 배웁니다.
C038,Kubernetes 기초,개발일반,고급,쿠버네티스의 파드 서비스 디플로이먼트 개념을 이해하고 컨테이너 오케스트레이션을 실습합니다.
C039,AWS 클라우드 입문,개발일반,입문,EC2 S3 RDS 등 핵심 AWS 서비스를 이해하고 웹 서비스를 클라우드에 배포하는 과정을 실습합니다.
C040,CI CD 파이프라인 구축,개발일반,중급,GitHub Actions로 테스트와 빌드 배포를 자동화하는 지속적 통합과 배포 파이프라인을 만듭니다.
C041,클린 코드와 리팩토링,개발일반,중급,읽기 좋은 코드의 원칙을 배우고 냄새 나는 코드를 단계적으로 리팩토링하는 실습을 진행합니다.
C042,테스트 주도 개발 TDD,개발일반,중급,단위 테스트 작성법과 테스트 먼저 개발하는 TDD 사이클을 JUnit 실습으로 체득합니다.
C043,자료구조와 알고리즘 기초,컴퓨터과학,입문,배열 스택 큐 해시 트리 등 핵심 자료구조와 정렬 탐색 알고리즘을 코딩테스트 문제로 연습합니다.
C044,코딩테스트 문제풀이 심화,컴퓨터과학,고급,그래프 탐색 동적계획법 그리디 등 코딩테스트 고난도 유형을 집중적으로 훈련합니다.
C045,운영체제의 이해,컴퓨터과학,중급,프로세스와 스레드 메모리 관리 동기화 등 운영체제 핵심 개념을 백엔드 개발자 관점에서 배웁니다.
C046,네트워크 기초 HTTP 완벽 이해,컴퓨터과학,입문,TCP IP와 HTTP 프로토콜 쿠키 세션 HTTPS 동작 원리를 웹 개발자에게 필요한 수준으로 학습합니다.
C047,IT 서비스 기획 입문,비개발,입문,아이디어를 서비스로 만드는 요구사항 정의와 화면 설계 우선순위 결정 방법을 배웁니다.
C048,개발자를 위한 기술 문서 작성법,비개발,입문,README와 API 문서 장애 보고서 등 개발 현장에서 필요한 글쓰기 원칙과 템플릿을 익힙니다.
C049,애자일과 스크럼 실무,비개발,중급,스프린트 운영과 백로그 관리 회고 등 애자일 팀의 일하는 방식을 사례와 함께 배웁니다.
C050,데이터 기반 의사결정과 지표 설계,비개발,중급,서비스 핵심 지표를 정의하고 A B 테스트로 가설을 검증하는 데이터 드리븐 사고방식을 학습합니다.
